age,period,cohort
10,1910,0.9
15,1910,4.5
20,1910,9.1
25,1910,13.1
30,1910,26
35,1910,36.6
40,1910,45.5
45,1910,45
50,1910,30.1
55,1910,31.6
60,1910,29.4
10,1920,0.8
15,1920,2.4
20,1920,6.6
25,1920,14.3
30,1920,34.3
35,1920,53.7
40,1920,68.6
45,1920,53.4
50,1920,57.9
55,1920,56.4
60,1920,35.2
10,1930,1.8
15,1930,3.7
20,1930,10.9
25,1930,25.4
30,1930,51
35,1930,73.2
40,1930,109.6
45,1930,93.5
50,1930,104.2
55,1930,72.5
60,1930,87.6
10,1940,2.8
15,1940,2.7
20,1940,14.6
25,1940,34.4
30,1940,67.2
35,1940,102.8
40,1940,150.3
45,1940,177.2
50,1940,173.8
55,1940,149.3
60,1940,127
10,1950,0.9
15,1950,6
20,1950,13
25,1950,43.4
30,1950,79.7
35,1950,137.9
40,1950,220.8
45,1950,243.8
50,1950,244
55,1950,232.6
60,1950,165.7
10,1960,4.4
15,1960,7.2
20,1960,17.3
25,1960,41.7
30,1960,76.1
35,1960,153.9
40,1960,229.3
45,1960,279.5
50,1960,354.6
55,1960,299.3
60,1960,235.7
10,1970,2.8
15,1970,6.7
20,1970,21
25,1970,48.4
30,1970,94.5
35,1970,156.4
40,1970,246.4
45,1970,349.4
50,1970,419.7
55,1970,425.6
60,1970,304.9
10,1980,3.3
15,1980,12
20,1980,25.1
25,1980,51.2
30,1980,98.7
35,1980,179.2
40,1980,268
45,1980,373.2
50,1980,478
55,1980,492.4
60,1980,413.3
10,1990,1.6
15,1990,8.3
20,1990,27.1
25,1990,62.9
30,1990,108.6
35,1990,184.1
40,1990,291.3
45,1990,399.5
50,1990,532
55,1990,591.1
60,1990,530.6
10,2000,3
15,2000,8.4
20,2000,21.2
25,2000,59.2
30,2000,107.4
35,2000,202.9
40,2000,303.1
45,2000,414.2
50,2000,548.5
55,2000,602.7
60,2000,574
